Module,asco_connection,cancernet,practicecentral,tapur,volunteer
"Edge Fonts (edge_fonts)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Font Squirrel API (fontsquirrel)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Fontdeck (fontdeck)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Fonts.com (fonts_com)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Local Fonts (local_fonts)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Typekit API (typekit_api)","Not installed","Not installed","Not installed","Not installed","Not installed"
"WYSIWYG for @font-your-face (fontyourface_wysiwyg)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Simple Access (simple_access)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Acquia agent (acquia_agent)",Disabled,Disabled,"Not installed","Not installed","Not installed"
"Acquia search (acquia_search)",Disabled,Disabled,"Not installed","Not installed","Not installed"
"Acquia Site Profile Information (acquia_spi)","Not installed",Disabled,"Not installed","Not installed","Not installed"
"Acquia Purge (acquia_purge)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Total Control (total_control)","Not installed","Not installed","Not installed","Not installed","Not installed"
"AdvAgg Async Font Loader (advagg_font)","Not installed","Not installed","Not installed","Not installed","Not installed"
"AdvAgg Critical CSS (advagg_critical_css)","Not installed","Not installed","Not installed","Not installed","Not installed"
"AdvAgg CSS/JS Validator (advagg_validator)","Not installed","Not installed","Not installed","Not installed","Not installed"
"AdvAgg External Compression (advagg_ext_compress)","Not installed","Not installed","Not installed","Not installed","Not installed"
"AdvAgg Relocate (advagg_relocate)","Not installed","Not installed","Not installed","Not installed","Not installed"
"AdvAgg Subresource Integrity (advagg_sri)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Abstract Content Type (abstract_content_type)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO Account (asco_account)","Not installed",Disabled,"Not installed","Not installed","Not installed"
"ASCO AiA Feed Parser (asco_aia_feed_parser)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO Bulk Fie Upload (asco_bulk_file_upload)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO CloudService (asco_cloudservice)","Not installed",Disabled,"Not installed","Not installed","Not installed"
"ASCO Cookie Manager (asco_cookie)","Not installed",Disabled,"Not installed","Not installed","Not installed"
"ASCO Course Enrollment (asco_enroll)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO Directory Service (asco_directoryservice)",Disabled,Disabled,"Not installed","Not installed","Not installed"
"ASCO eBook Manager (asco_ebook)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO EdBook Metadata (asco_edbook_metadata)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO EdBook PubMed (asco_edbook_pubmed)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO iTunes U (asco_itunes_u)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO Member Status (asco_member_status)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO ML URL (asco_mlurl)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO My Products (asco_my_products)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO NetScore (asco_netscore)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO Profile Service (asco_profileservice)",Disabled,Disabled,"Not installed","Not installed","Not installed"
"ASCO Session End (asco_session_end)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO Solr Content Type Merge (asco_solr_contenttype_merge)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO solr facet customization (asco_solrfacet)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO SSO (asco_sso)","Not installed",Disabled,Disabled,Disabled,Disabled
"ASCO SSO 2.0 (asco_sso2)",Disabled,"Not installed","Not installed","Not installed","Not installed"
"ASCO SSO Badge (asco_sso_badge)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO SSO Vendor (asco_sso_vendor)","Not installed","Not installed","Not installed","Not installed","Not installed"
"ASCO User Profile (asco_profile)",Disabled,Disabled,"Not installed","Not installed","Not installed"
